Fecha,Hidraulica,Turbinacion bombeo,Nuclear,Carbon,Motores diesel,Turbina de gas,Turbina de vapor,Ciclo combinado,Eolica,Solar fotovoltaica,Solar termica,Otras renovables,Cogeneracion,Residuos no renovables,Residuos renovables,Generacion total
07/09/2015,63.563006,2.4669899999999996,165.62733799999998,181.189836,10.241374,3.050943,8.059178,95.28008100000001,71.011117,19.1071,10.434348,8.92522,73.431332,7.331835,2.529675,722.2493729999999
08/09/2015,61.953970999999996,3.34806,165.808144,198.548338,10.075878000000001,2.632473,7.109799,96.181808,28.883197,26.204234,19.876505,10.061771,75.92678599999999,7.2628555,2.5604544999999996,716.434274
09/09/2015,64.345258,3.472912,165.61113699999999,201.235449,10.161772000000001,2.903136,8.065408999999999,95.826879,53.006029999999996,24.626325,16.663025,10.279341,75.91882799999999,7.339206,2.5860149999999997,742.0407219999998
10/09/2015,60.225546,7.762974,165.186856,205.12837299999998,10.110346999999999,3.168324,7.427871,97.377938,39.946144,24.830856,19.252839,10.359228,75.60125199999999,7.235109499999999,2.6365935,736.2502509999999
11/09/2015,41.299885,7.117234000000001,165.31875399999998,185.69265900000002,10.444286,3.0574380000000003,8.039011,80.959028,72.35563499999999,26.30395,20.740704,10.268049000000001,74.60147900000001,7.2148895,2.5862375,715.9992390000001
12/09/2015,44.708040000000004,4.766381999999999,165.10672200000002,152.07416500000002,10.266297,2.7240390000000003,7.618595999999999,63.77438,94.079088,19.269479999999998,12.773995000000001,10.853622999999999,68.683122,7.293883,2.629061,666.6208730000002
13/09/2015,31.929814999999998,11.132044,165.27570300000002,58.104993,9.753157999999999,2.258667,6.9897160000000005,42.39702,204.08795,23.371996,18.943051,10.116736999999999,62.86317,7.422073999999999,2.538093,657.1841869999998
14/09/2015,49.452942,10.774556,165.82684400000002,103.911098,10.133693,3.2474279999999998,8.266481,81.33381600000001,155.179957,25.00272,14.548821,10.472817,71.496645,7.6062625,2.5146725,719.7687529999998
15/09/2015,44.124061000000005,8.015288,165.789019,103.59761,10.038001,3.293387,8.315046,56.009096,206.208718,18.903229,9.725425,10.917061,73.41912300000001,7.4014225,2.4948235,728.25131
16/09/2015,40.613201999999994,8.600513000000001,165.407912,70.742121,10.418868,3.6258000000000004,8.152899999999999,50.371343,296.292371,18.408602,2.218686,10.563649999999999,68.150001,7.2797115,2.4037555000000004,763.2494360000001
17/09/2015,52.839499,6.786912999999999,165.992316,128.25059100000001,9.961579,3.670221,8.462528,71.160027,153.135806,27.251861,18.868788000000002,10.714386000000001,73.445529,7.539689500000001,2.4959975,740.5757310000001
18/09/2015,58.890849,8.115911,166.245637,167.52407399999998,10.346688,3.045242,8.260914000000001,80.137632,57.269349000000005,28.313182,23.104153999999998,10.788839,75.705806,7.785066,2.4190039999999997,707.9523469999999
19/09/2015,51.672065,2.918901,165.987071,130.71875,9.876447,2.472744,7.09626,61.127120000000005,89.463092,28.089,23.703847000000003,10.758058,67.918601,7.5334235,2.2004034999999997,661.5357829999998
20/09/2015,47.019044,7.503696,165.976223,128.735129,9.450976,2.000204,5.5230879999999996,59.962078,61.243921,29.067421999999997,23.943166,10.800602999999999,67.458682,7.299199,1.9590699999999999,627.9425010000001
21/09/2015,59.557773999999995,5.095235,165.871967,182.956074,10.227686,3.403927,7.467562,85.44093600000001,49.088649,27.34001,17.076592,10.905657,73.155576,7.1261465,1.9371315,706.650923
22/09/2015,53.560691,1.7398630000000002,165.95381,159.450015,10.080375,3.7706950000000004,7.535399,69.066087,120.808603,28.692156,22.536353,10.552691999999999,72.89416,6.9934955,1.9383395,735.5727339999997
23/09/2015,50.970925,6.286939,166.043033,160.450475,9.91715,4.137531,7.764856,74.67189200000001,126.317053,26.447013,23.323477,10.726037,73.533863,7.0599295,1.9553195,749.605493
24/09/2015,64.298786,9.50929,166.00248000000002,176.86478599999998,10.214914,3.760012,7.114126000000001,74.847272,67.585137,26.060987,21.956589,10.776691999999999,75.360529,7.0988565,1.9802585,723.4307150000001
25/09/2015,61.780112,3.977761,166.06081899999998,180.578483,9.878219,4.020049,6.556495,81.604827,50.370533,26.062748,18.723853,10.584365,75.622028,7.2800995,2.0294835,705.129875
26/09/2015,51.88266,2.0536779999999997,159.907779,167.462177,9.903475,2.2891559999999997,5.670029,71.908654,38.930889,23.527316,14.553572,10.472093999999998,68.43387799999999,7.3511735,2.0158705,636.362401
27/09/2015,44.708159,2.035874,142.746847,124.014116,8.910041999999999,2.1365,4.514876,68.548921,84.42527199999999,23.542389,18.229892,10.25962,65.72470600000001,6.995455,2.039419,608.832088
28/09/2015,56.947497000000006,5.2750330000000005,142.881636,162.767393,9.870678,3.440928,6.25942,76.325721,104.828281,22.772913,10.486025,10.103374,70.484608,6.643804,1.990987,691.0782980000001
29/09/2015,64.359222,12.00048,143.094492,186.118357,10.013622,3.214614,6.396850000000001,81.353184,72.30345200000001,18.457532999999998,6.249270999999999,10.107111000000002,72.739533,6.2741584999999995,2.0080425,694.689922
30/09/2015,69.211853,8.710697,143.12351,191.43582199999997,9.999270000000001,3.000007,6.5051239999999995,79.165198,46.714588000000006,23.013223999999997,16.451986,10.289100000000001,72.998565,7.064953999999999,2.1828380000000003,689.866736
01/10/2015,69.135848,5.546518,143.186096,196.642401,9.944072,2.477742,7.025918,87.154195,53.551349,25.681667,18.613374,10.657268,73.349838,7.320766,2.52984,712.8168919999999
02/10/2015,61.116983,3.5579140000000002,141.914386,189.53086199999998,10.038427,2.686541,7.163883,80.825896,64.237397,24.605824000000002,16.394451,10.641339,74.36367600000001,7.842666,2.528197,697.448442
03/10/2015,53.178436999999995,4.718287999999999,136.10886499999998,173.047874,9.885881,1.987214,6.737795,78.76226,60.023875999999994,15.234071,1.71234,10.650343999999999,67.046418,7.8156865,2.5156855,629.425035
04/10/2015,28.220448,7.796787,116.36741099999999,66.488852,8.964277,2.447674,5.325105,62.462055,204.87912400000002,12.524861000000001,0.692739,10.143171,62.805247,7.475293,2.3958519999999996,598.988896
05/10/2015,37.009226000000005,9.912139,116.00899000000001,68.059303,9.715187,3.352446,6.116314999999999,62.543423000000004,301.03979599999997,10.53896,0.25341800000000003,10.190685,67.447089,7.305752999999999,2.205409,711.698139
06/10/2015,47.505362,9.584421,116.091513,101.42168,9.394153000000001,3.024676,5.456428,65.558658,276.829971,19.946248999999998,4.363424,10.083486,69.566456,7.403611,2.435614,748.665702
07/10/2015,77.736375,9.45539,116.25620500000001,195.84501600000002,9.240491,2.662518,5.512326,98.181018,65.564666,22.987504,11.727469,10.446938,74.58816,7.5798119999999995,2.4335430000000002,710.217431
08/10/2015,72.471005,8.961022000000002,116.78139,191.887344,8.924615,3.036951,5.422218,97.357359,70.35746499999999,21.959967,14.809096,10.649329,75.45499000000001,7.458398,2.387884,707.9190329999999
09/10/2015,69.89272,8.806036,117.55627,192.213088,9.213852000000001,2.597883,5.712419,95.608144,32.392663,23.820708,8.589069,10.764045,76.215975,7.4734355,2.3325725000000004,663.1888799999999
10/10/2015,50.371941,1.015292,124.737461,114.979797,9.217486000000001,2.643662,5.409293,75.080792,72.234343,19.205821,2.665116,10.682467,70.529776,7.4195985,2.2686545000000002,568.4615
11/10/2015,44.737634,1.888111,131.520883,91.336507,8.997091000000001,2.045154,4.118957999999999,87.140856,56.025798,13.606416999999999,1.533618,10.443159,67.368707,7.527058,2.448467,530.7384180000001
12/10/2015,46.212459,4.063105,141.17182300000002,98.404111,9.284874,1.740107,4.584493,83.09183800000001,106.65186800000001,15.277849,2.215056,10.163027,68.20751,7.510139000000001,2.524478,601.1027369999999
13/10/2015,50.082741,7.941644,142.019894,127.61614,9.524531999999999,2.135129,5.2301530000000005,74.948019,160.52895,14.545453,2.291028,9.925093,74.24615399999999,7.0364935,2.5284585,690.5998819999999
14/10/2015,44.347342,6.177708,142.311756,140.24177,8.696303,2.3834989999999996,5.579028,80.892055,172.299378,23.709843,11.55386,10.145175,75.44469500000001,6.6596589999999996,2.521633,732.9637039999999
15/10/2015,64.75149,12.797794,142.65829300000001,184.020962,8.987718000000001,2.2838220000000002,5.297863,105.306731,70.46542699999999,25.843674999999998,15.667971999999999,10.022475,76.233326,6.707479,2.569295,733.614322
16/10/2015,72.409067,16.697798,138.580424,200.997951,8.754105,2.118042,5.304153,110.35397999999999,32.369388,19.178391,7.36922,10.426594,76.388405,6.890127499999999,2.5698235,710.407469
17/10/2015,39.929997,4.577983000000001,117.91578,92.907042,8.453201,1.674984,4.712499,75.97653299999999,148.64236799999998,13.718304,1.706947,10.619948,69.934144,6.846469,2.493475,600.1096739999999
18/10/2015,52.418936,6.106173,117.67159,96.897409,8.307134,1.936747,3.9741880000000003,88.794833,76.7716,11.326858,0.505993,10.664332,66.79144199999999,6.915705,2.5174980000000002,551.6004380000002
19/10/2015,72.375159,14.994957000000001,117.736567,159.02107199999998,8.22107,2.378871,5.681437,101.06136000000001,109.799637,12.300156999999999,1.528852,10.601614999999999,70.590127,7.600728,2.516861,696.4084700000001
20/10/2015,43.171233,2.02868,118.477799,139.527502,8.115172,2.431598,5.317256,76.94097599999999,234.003366,11.801326,1.2795,9.893576999999999,71.862547,7.7487055,2.4665304999999997,735.0657679999999
