fecha,indicativo,nombre,provincia,prec,velmedia,sol,longitud,latitud
09/2017,2117D,ARANDA DE DUERO,BURGOS,0.2,1.4666666666666666,5.217241379310345,-3.742777777777778,41.66583333333333
09/2017,2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",SEGOVIA,0.4,2.9,7.527586206896552,-3.475277777777778,41.19194444444444
09/2017,2235U,CERVERA DE PISUERGA,PALENCIA,7.0,2.58,7.772413793103448,-4.52,42.870555555555555
09/2017,2298,PALACIOS DE LA SIERRA,BURGOS,0.8,2.208,9.644,-3.131666666666667,41.959722222222226
09/2017,2331,BURGOS AEROPUERTO,BURGOS,3.8,3.71,9.120000000000001,-3.6213888888888888,42.356944444444444
09/2017,2374X,CARRIÓN DE LOS CONDES,PALENCIA,0.8,1.3599999999999999,8.582758620689656,-4.617222222222223,42.350833333333334
09/2017,2400E,AUTILLA DEL PINO,PALENCIA,0.0,3.7275862068965515,,-4.602777777777778,41.995555555555555
09/2017,2422,VALLADOLID,VALLADOLID,0.2,1.8133333333333332,10.520000000000001,-4.754444444444444,41.64083333333333
09/2017,2444,ÁVILA,AVILA,0.0,2.716666666666667,10.263333333333332,-4.679722222222223,40.659166666666664
09/2017,2462,PUERTO DE NAVACERRADA,MADRID,1.6,2.85,9.26,-4.010555555555555,40.793055555555554
09/2017,2465,SEGOVIA,SEGOVIA,0.0,2.55,10.06,-4.126388888888888,40.945277777777775
09/2017,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,0.0,3.5500000000000003,,-5.69,40.355000000000004
09/2017,2503X,OLMEDO,VALLADOLID,0.0,1.3599999999999999,,-4.686944444444444,41.325833333333335
09/2017,2539,VALLADOLID AEROPUERTO,VALLADOLID,0.1,3.3666666666666667,9.436666666666667,-4.855555555555555,41.71194444444445
09/2017,2614,ZAMORA,ZAMORA,0.0,1.68,9.886666666666667,-5.735277777777778,41.51555555555556
09/2017,2661,"LEÓN, VIRGEN DEL CAMINO",LEON,3.3000000000000003,3.3133333333333335,10.396666666666667,-5.651111111111112,42.58833333333334
09/2017,2755X,BENAVENTE,ZAMORA,0.0,2.06,9.966666666666667,-5.666666666666667,42.01083333333333
09/2017,2775X,VILLARDECIERVOS,ZAMORA,0.4,2.1533333333333333,10.333333333333334,-6.279722222222222,41.94138888888889
09/2017,2811A,NAVARREDONDA DE GREDOS,AVILA,0.0,1.03,,-5.143055555555556,40.35055555555556
09/2017,2867,SALAMANCA AEROPUERTO,SALAMANCA,0.0,2.2,11.283333333333333,-5.498333333333333,40.95944444444445
09/2017,2870,SALAMANCA,SALAMANCA,0.0,1.6700000000000002,,-5.662222222222223,40.9575
09/2017,2916A,VITIGUDINO,SALAMANCA,0.0,3.1133333333333337,11.06551724137931,-6.437777777777778,41.01138888888889
09/2017,2946X,SAELICES EL CHICO,SALAMANCA,0.0,2.6666666666666665,10.826666666666666,-6.6,40.635
09/2017,3013,MOLINA DE ARAGÓN,GUADALAJARA,22.0,1.5266666666666666,8.796666666666665,-1.8788888888888888,40.84166666666667
09/2017,3044X,CAÑIZARES,CUENCA,23.200000000000003,,,-2.15,40.530277777777776
09/2017,3094B,TARANCÓN,CUENCA,0.0,2.4413793103448276,8.813793103448276,-3.0213888888888887,40.01138888888889
09/2017,3100B,ARANJUEZ,MADRID,0.0,1.4633333333333334,,-3.546111111111111,40.06722222222223
09/2017,3110C,BUITRAGO DEL LOZOYA,MADRID,0.1,1.9200000000000002,,-3.613611111111111,41.00694444444444
09/2017,3111D,SOMOSIERRA,MADRID,4.2,1.26,,-3.5802777777777774,41.135555555555555
09/2017,3129,MADRID AEROPUERTO,MADRID,0.0,2.953333333333333,6.706666666666666,-3.5555555555555554,40.46666666666667
09/2017,3130C,SIGÜENZA,GUADALAJARA,5.0,,4.9125,-2.618055555555556,41.08638888888889
09/2017,3168D,GUADALAJARA,GUADALAJARA,0.0,2.1366666666666663,10.516666666666667,-3.15,40.63027777777778
09/2017,3175,TORREJÓN DE ARDOZ,MADRID,0.0,2.683333333333333,9.593333333333334,-3.443611111111111,40.48861111111111
09/2017,3191E,COLMENAR VIEJO,MADRID,0.0,2.61,9.553333333333335,-3.765,40.69611111111111
09/2017,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,0.0,1.8533333333333333,,-3.7241666666666666,40.45166666666667
09/2017,3195,"MADRID, RETIRO",MADRID,0.0,1.57,,-3.6780555555555554,40.411944444444444
09/2017,3196,"MADRID, CUATRO VIENTOS",MADRID,0.0,2.2866666666666666,9.69,-3.786111111111111,40.37555555555556
09/2017,3200,GETAFE,MADRID,0.0,2.783333333333333,10.163333333333332,-3.7222222222222223,40.29944444444444
